Time resolution is 1 ps
Time	N	  Product   Expected  Done Error
110000	0	1         1          1     0    
230000	1	1         1          1     0    
390000	2	2         2          1     0    
590000	3	6         6          1     0    
830000	4	24        24         1     0    
1110000	5	120       120        1     0    
1430000	6	720       720        1     0    
1790000	7	5040      5040       1     0    
2190000	8	40320     40320      1     0    
2630000	9	362880    362880     1     0    
3110000	10	3628800   3628800    1     0    
3630000	11	39916800  39916800   1     0    
4190000	12	479001600 479001600  1     0    
4290000	13	        0          0 0     1    
$finish called at time : 4350 ns : File "C:/Users/benny/OneDrive/Documents/Vivado/CMPE_140/Assignment_1_Factorial_Accelerator/Assignment_1_Factorial_Accelerator.srcs/sim_1/new/testbench.sv" Line 88
